"id";"code";"name";"image";"level";"lv1_code";"lv1_name";"lv2_code";"lv2_name";"pinyin";"remark";"sub_cats"
"344";"042001";"家具";"";"3";"04";"生活百货";"0420";"家具家装";"042001shenghuobaihuojiajujiazhuangjiaju";"桌，椅，床，衣柜，电视柜，茶几";""
"343";"0420";"家具家装";"";"2";"04";"生活百货";"";"";"0420shenghuobaihuojiajujiazhuang";"";""
"319";"041818";"汽车用品";"";"3";"04";"生活百货";"0418";"家庭日用";"041818shenghuobaihuojiatingriyongqicheyongpin";"";""
"315";"041814";"床上用品";"";"3";"04";"生活百货";"0418";"家庭日用";"041814shenghuobaihuojiatingriyongchuangshangyongpin";"被子，枕头，凉席，蚊帐，床单，被套，枕套，枕巾，床垫等";""
"314";"041813";"五金电工";"";"3";"04";"生活百货";"0418";"家庭日用";"041813shenghuobaihuojiatingriyongwujindiangong";"水龙头，螺丝刀，扳手等。";""
"106";"030805";"湿纸巾";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/ff74f405-b013-340e-a6ab-12ac35328f08_ori.jpg";"3";"03";"日化清洁";"0308";"生活用纸";"030805rihuaqingjishenghuoyongzhishizhijin";"";""
"168";"00";"一级总类";"";"1";"";"";"";"";"00yijizonglei";"";""
"280";"0301";"美妆洗护";"";"2";"03";"日化清洁";"";"";"0301rihuaqingjimeizhuangxihu";"";""
"270";"020313";"调味粉料";"";"3";"02";"食品类";"0203";"粮油调味";"020313shipinleiliangyoudiaoweidiaoweifenliao";"胡椒粉，调味粉，油炸粉，发酵粉等";""
"250";"020112";"糕点";"";"3";"02";"食品类";"0201";"休闲食品";"020112shipinleixiuxianshipingaodian";"面包，派类，麻花，沙琪玛，麻糬，提拉米苏，卷，吐司";""
"240";"010409";"果酒";"";"3";"01";"饮品类";"0104";"酒类";"010409yinpinleijiuleiguojiu";"苹果酒，梅子酒，各种非葡萄的水果酒";""
"236";"010306";"果味类";"";"3";"01";"饮品类";"0103";"冲饮类";"010306yinpinleichongyinleiguoweilei";"酸梅，果味，浓浆，香蕉，橘子";""
"420";"0601";"香烟";"";"2";"06";"特殊品类";"";"";"0601teshupinleixiangyan";"";""
"202";"010202";"加味牛奶";"";"3";"01";"饮品类";"0102";"奶制品类";"010202yinpinleinaizhipinleijiaweiniunai";"香蕉牛奶，牛奶饮料，旺旺";""
"283";"030106";"美容美妆";"";"3";"03";"日化清洁";"0301";"美妆洗护";"030106rihuaqingjimeizhuangxihumeirongmeizhuang";"香水，化妆品，化妆用具";""
"161";"041804";"文体用品";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/685d5610-9419-3eba-a9ce-d04cc9eea8b7_ori.jpg";"3";"04";"生活百货";"0418";"家庭日用";"041804shenghuobaihuojiatingriyongwentiyongpin";"固体胶，胶带，AB胶，502胶水，A4纸灯办公用品，笔记本，笔，相册，乒乓球拍，羽毛球拍，跳绳等";""
"129";"060201";"避孕套";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/4692650b-5f91-377b-b2d5-b2743be9583a_ori.jpg";"3";"06";"特殊品类";"0602";"成人用品";"060201teshupinleichengrenyongpinbiyuntao";"";""
"124";"030104";"口腔护理";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/18e80084-0922-3c15-b907-471689033ac3_ori.jpg";"3";"03";"日化清洁";"0301";"美妆洗护";"030104rihuaqingjimeizhuangxihukouqianghuli";"牙膏，牙刷，漱口水，牙线，牙贴等";""
"119";"030101";"洗发护发";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/3a49ceea-3896-36b4-80cb-1e6d3e782316_ori.jpg";"3";"03";"日化清洁";"0301";"美妆洗护";"030101rihuaqingjimeizhuangxihuxifahufa";"洗发水，护发素，定型啫喱，染发剂等";""
"118";"030910";"清洁用具";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/53bbfefb-1f4d-3ce5-a3da-b57bc372bb3c_ori.jpg";"3";"03";"日化清洁";"0309";"家用清洁";"030910rihuaqingjijiayongqingjiqingjiyongju";"垃圾桶，垃圾袋，刷子，晒衣品类，袖套，洗脸盆等";""
